pathway	COMMON-NAME	TAXONOMIC-RANGE
PWY-7396	butanol and isobutanol biosynthesis (engineered)	TAX-2
PWY-7396		TAX-4751
PWY-7142	cyanide detoxification II	TAX-4751
PWY-5022	4-aminobutanoate degradation V	TAX-1239
PWY-5022	GABA degradation	
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	TAX-2157
PWY-7228		TAX-2759
PWY-7228		TAX-2
BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I	TAX-40674
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	TAX-2759
PWY4FS-7		TAX-2
PWY-6475	trans-lycopene biosynthesis II (plants)	TAX-1117
PWY-6475		TAX-2763
PWY-6475		TAX-33090
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	TAX-2763
HEXITOLDEGSUPER-PWY		TAX-2
PWY-7452	cyanidin dimalonylglucoside biosynthesis	TAX-4210
PWY-6537	4-aminobutanoate degradation II	TAX-4751
PWY-6537		TAX-2
KETOGLUCONMET-PWY	ketogluconate metabolism	TAX-2
PWY-6562	norspermidine biosynthesis	TAX-641
PWY-6562	sym-norspermidine biosynthesis	
ARGININE-SYN4-PWY	L-ornithine biosynthesis II	TAX-33208
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	TAX-2
PWY-6708	ubiquinone-8 biosynthesis (prokaryotic)	
GLUTSYNIII-PWY	L-glutamate biosynthesis III	TAX-33154
GLUTSYNIII-PWY		TAX-2
GLUTSYNIII-PWY		TAX-2157
PWY-7770	indolmycin biosynthesis	TAX-2
PWY66-221	nicotine degradation V	TAX-40674
PWY-5136	fatty acid &beta;-oxidation II (peroxisome)	TAX-33090
PWY-5136	fatty acid &beta;-oxidation II (plants)	
PWY-5129	sphingolipid biosynthesis (plants)	TAX-33090
PWY-5129	ceramide biosynthesis (plants)	
PWY-5397	crocetin biosynthesis	TAX-85894
PWY-5397	safranal biosynthesis	TAX-4136
PWY-5397		TAX-24966
PWY-5397		TAX-26339
PWY-7316	dTDP-N-acetylviosamine biosynthesis	TAX-2
PWY-7316	dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-glucose biosynthesis	
PWY66-367	ketogenesis	TAX-7711
PWY66-367	acetoacetate biosynthesis	
PWY66-367	ketone body synthesis	
PWY-4983	L-citrulline-nitric oxide cycle	TAX-33208
PWY-4983	L-citrulline-NO cycle	
PWY-4983	nitric oxide biosynthesis II	
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	TAX-2
PWY-6954	superpathway of aromatic compound degradation via 2-oxopent-4-enoate	TAX-2
PWY-7838	globo-series glycosphingolipids biosynthesis	TAX-33208
PWY-7838	globoglycosphingolipids biosynthesis	
PWY-7102	bisabolene biosynthesis (engineered)	TAX-2759
PWY-7102		TAX-1224
PWY-5785	di-trans,poly-cis-undecaprenyl phosphate biosynthesis	TAX-2
PWY-6270	isoprene biosynthesis I	TAX-3193
PWY2OL-4	superpathway of linalool biosynthesis	TAX-3398
PWY2OL-4		TAX-4751
PWY-6788	cellulose degradation II (fungi)	TAX-4751
CYANCAT-PWY	cyanate degradation	TAX-33090
CYANCAT-PWY	cyanate catabolism	TAX-2
PWY-7720	ophiobolin F biosynthesis	TAX-4751
PWY1F-FLAVSYN	flavonoid biosynthesis	TAX-58024
PWY-6269	adenosylcobalamin salvage from cobinamide II	TAX-2157
PWY-6269	vitamin B12 biosynthesis	TAX-2
PWY-5274	sulfide oxidation II (sulfide dehydrogenase)	TAX-2
LCYSDEG-PWY	L-cysteine degradation II	TAX-2
LCYSDEG-PWY	L-cysteine catabolism	TAX-2759
LCYSDEG-PWY	L-cysteine degradation	
PWY-6948	sitosterol degradation to androstenedione	TAX-2
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	TAX-200918
KDO-NAGLIPASYN-PWY		TAX-200940
KDO-NAGLIPASYN-PWY		TAX-544448
KDO-NAGLIPASYN-PWY		TAX-508458
KDO-NAGLIPASYN-PWY		TAX-203691
KDO-NAGLIPASYN-PWY		TAX-1224
KDO-NAGLIPASYN-PWY		TAX-40117
KDO-NAGLIPASYN-PWY		TAX-142182
KDO-NAGLIPASYN-PWY		TAX-32066
KDO-NAGLIPASYN-PWY		TAX-1783270
KDO-NAGLIPASYN-PWY		TAX-74152
KDO-NAGLIPASYN-PWY		TAX-68297
KDO-NAGLIPASYN-PWY		TAX-1297
KDO-NAGLIPASYN-PWY		TAX-200930
KDO-NAGLIPASYN-PWY		TAX-1117
KDO-NAGLIPASYN-PWY		TAX-200938
KDO-NAGLIPASYN-PWY		TAX-200795
KDO-NAGLIPASYN-PWY		TAX-1783257
KDO-NAGLIPASYN-PWY		TAX-67814
KDO-NAGLIPASYN-PWY		TAX-68336
KDO-NAGLIPASYN-PWY		TAX-200783
PWY-5130	2-oxobutanoate degradation I	TAX-2759
PWY-5130	2-oxobutyrate catabolism	TAX-2
PWY-5130	2-oxobutyrate degradation	
PWY-5308	superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	TAX-1224
PWY-5059	pinobanksin biosynthesis	TAX-58024
LIPAS-PWY	triacylglycerol degradation	TAX-2759
LIPAS-PWY	triacylglyceride degradation	TAX-2
LIPAS-PWY	triacylglycerol hydrolysis	TAX-2157
LIPAS-PWY	lipolysis	
PWY66-391	fatty acid &beta;-oxidation VI (peroxisome)	TAX-7742
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	TAX-2
NADPHOS-DEPHOS-PWY-1		TAX-2157
NADPHOS-DEPHOS-PWY-1		TAX-2759
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	TAX-2759
PWY-7250	[Fe-S] cluster biosynthesis	TAX-2
PWY-7250	[2Fe-2S] cluster biosynthesis	TAX-2157
PWY-5311	L-lysine degradation VII	TAX-4751
PWY-5312	superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)	TAX-58024
PWY-6614	tetrahydrofolate biosynthesis	TAX-33090
PWY-6614	folic acid biosynthesis	TAX-4751
PWY-6614	folate biosynthesis	TAX-2
PWY-6614	THF biosynthesis	
PWY-6633	caffeine degradation V (bacteria, via trimethylurate)	TAX-2
PWY-6633	caffeine C-8 oxidation pathway	
PWY-6633	caffeine degradation V (bacteria, to trimethylurate)	
PWY-6697	oxalate degradation IV	TAX-2
PWY-6697		TAX-33090
PWY-6697		TAX-4751
PWY-6749	CMP-legionaminate biosynthesis I	TAX-2
PWY-6749	CMP-legionaminic acid biosynthesis I	
PWY-6749	5,7-diacetamido-3,5,7,9-tetradeoxy-D-glycero-D-galacto-nonulosonic acid biosynthesis I	
PWY-6749	CMP-N, N-diacetyllegionaminate biosynthesis I	
ALANINE-DEG3-PWY	L-alanine degradation III	TAX-2759
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	TAX-2
PWY-5744	glyoxylate assimilation	TAX-200795
PWY-5744		TAX-183924
PWY-6445	fenchol biosynthesis II	TAX-4143
PWY66-368	ketolysis	TAX-7711
PWY66-368	ketone body metabolism	
PWY66-368	ketone body degradation	
PWY-5920	superpathway of heme biosynthesis from glycine	TAX-33630
PWY-5920		TAX-33682
PWY-5920		TAX-1224
PWY-5920		TAX-33208
PWY-5920		TAX-4751
PPGPPMET-PWY	ppGpp biosynthesis	TAX-2
PPGPPMET-PWY	guanosine 3'-diphosphate 5'-diphosphate biosynthesis	
PWY-6842	glutathione-mediated detoxification II	TAX-33090
PWY-6075	ergosterol biosynthesis I	TAX-4751
PWY-6075	ergosterol biosynthesis I (fungi)	
P224-PWY	sulfate reduction V (dissimilatory, to thiosulfate)	TAX-2
P224-PWY	bisulfite reduction	
PWY-6145	superpathway of CMP-sialic acids biosynthesis	TAX-2759
PWY-6145		TAX-2
PWY-7417	phospholipid remodeling (phosphatidate, yeast)	TAX-2759
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	TAX-3398
PWY-7117	C4 photosynthesis, PEPCK type	TAX-4479
PWY-7392	taxadiene biosynthesis (engineered)	TAX-2157
PWY-7392		TAX-2759
PWY-7392		TAX-2
PWY-5921	glutaminyl-tRNAgln biosynthesis via transamidation	TAX-2759
PWY-5921		TAX-2
PWY-5921		TAX-2157
DISSULFRED-PWY	sulfate reduction IV (dissimilatory, to hydrogen sufide))	TAX-2157
DISSULFRED-PWY	sulfate respiration	TAX-2
PWY-5433	superpathway of lipoxygenase	TAX-3193
PWY-5433	LOX superpathway	
THISYNARA-PWY	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	TAX-33630
THISYNARA-PWY	vitamin B1 biosynthesis IV (eukaryotes)	TAX-4751
THISYNARA-PWY	thiamine diphosphate biosynthesis (plants)	TAX-33090
P381-PWY	adenosylcobalamin biosynthesis II (aerobic)	TAX-2
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	TAX-2157
P381-PWY	vitamin B12 biosynthesis	
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	TAX-2157
SALVADEHYPOX-PWY	purine ribonucleotide/ribonucleoside metabolism	TAX-2759
SALVADEHYPOX-PWY		TAX-2
IDNCAT-PWY	L-idonate degradation	TAX-2
IDNCAT-PWY	L-idonic acid catabolism	
IDNCAT-PWY	L-idonate catabolism	
PWY66-5	superpathway of cholesterol biosynthesis	TAX-33208
PWY-6404	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	TAX-1762
PWY0-41	allantoin degradation IV (anaerobic)	TAX-2
PWY-7305	superpathway of steroid hormone biosynthesis	TAX-40674
PROUT-PWY	L-proline degradation	TAX-2759
PROUT-PWY	L-proline utilization	TAX-2157
PROUT-PWY		TAX-2
PWY-5295	ternatin C5 biosynthesis	TAX-3398
PWY-5086	chlorophyll a biosynthesis I	TAX-2763
PWY-5086		TAX-1117
PWY-5086		TAX-33682
PWY-5086		TAX-33090
PWY-5394	betalamic acid biosynthesis	TAX-4751
PWY-5394		TAX-3524
PWY-7779	methyl tert-butyl ether degradation	TAX-2
PWY-7779	MTBE degradation	
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)	TAX-2
PWY-5855	ubiquinone-7 biosynthesis (prokaryotic)	
PWY-7033	alkane biosynthesis II	TAX-4751
PWY-7033		TAX-33090
PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	TAX-33090
PWY-601	glucosinolate biosynthesis from tryptophan	TAX-3699
PWY-601	indolylmethyl glucosinolate biosynthesis	
PWY-7226	guanosine deoxyribonucleotides de novo biosynthesis I	TAX-2759
PWY-7226		TAX-2157
PWY-7226		TAX-2
PWY-5074	mevalonate degradation	TAX-2
PWY-6173	histamine biosynthesis	TAX-33208
PWY-6173		TAX-2
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	TAX-2157
METHIONINE-DEG1-PWY		TAX-2
METHIONINE-DEG1-PWY		TAX-2759
PWY-701	L-methionine degradation II	TAX-3193
PWY-701		TAX-4751
PWY-701		TAX-33084
PWY-701		TAX-2
PWY-1581	plastoquinol-9 biosynthesis I	TAX-2870
PWY-1581	plastoquinone biosynthesis I	TAX-2763
PWY-1581	plastoquinone-9 biosynthesis I	TAX-33090
PWY-1581	plastoquinol biosynthesis I	
PWY-6872	retinoate biosynthesis I	TAX-33208
PWY-6872	retinoic acid biosynthesis	
PWY-7816	poly(ribitol phosphate) wall teichoic acid biosynthesis II (S. aureus)	TAX-1239
PWY-7816	ribitol teichoic acid biosynthesis	
PWY-6938	NADH repair	TAX-2759
PWY-6938		TAX-2
PWY-6938		TAX-2157
PWY-6307	L-tryptophan degradation X (mammalian, via tryptamine)	TAX-40674
PWY-6543	4-aminobenzoate biosynthesis	TAX-4751
PWY-6543	pABA biosynthesis	TAX-2157
PWY-6543	plastidial PABA biosynthesis	TAX-2
PWY-6543	PABA biosynthesis in plastids	TAX-33090
PWY-6543	p-aminobenzoate biosynthesis	
GALACTCAT-PWY	D-galactonate degradation	TAX-2157
GALACTCAT-PWY	D-galactonate catabolism	TAX-2
PWY-5934	iron reduction and absorption	TAX-3398
PWY-5934	Fe(III)-reduction	
PWY-5934	Fe(II) transport	
PWY-5934	Fe(III)-chelation and Fe(II) transport	
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	TAX-2
PWY-6724	starch degradation II	TAX-33090
PWY-6724	starch mobilization in chloroplast stroma	
PWY-6724	transitory starch degradation in chloroplast stroma	
PWY-6724	starch degradation in chloroplast stroma	
PWY-5750	itaconate biosynthesis	TAX-4751
PWY-6728	methylaspartate cycle	TAX-183963
PWY-7356	thiamine salvage IV (yeast)	TAX-2
PWY-7356	thiamin salvage IV (yeast)	TAX-4751
PWY-5686	UMP biosynthesis I	TAX-2759
PWY-5686	uridine-5'-phosphate biosynthesis I	TAX-2
PWY-5686	de novo biosynthesis of uridine-5'-phosphate I	
PWY-5686	de novo biosynthesis of uridine-5'-monophosphate I	
PWY-7790	UMP biosynthesis II	TAX-33682
PWY-7790	uridine-5'-phosphate biosynthesis II	TAX-4751
PWY-7790	de novo biosynthesis of uridine-5'-phosphate II	TAX-2
PWY-7790	de novo biosynthesis of uridine-5'-monophosphate II	
PWY-6317	D-galactose degradation I (Leloir pathway)	TAX-4751
PWY-6317	Leloir pathway	TAX-3193
PWY-6317		TAX-2
PWY-7528	L-methionine salvage cycle I (bacteria and plants)	TAX-2157
PWY-7528	5'-methylthioadenosine cycle	TAX-2
PWY-7528	MTA cycle	TAX-33090
PWY-7528	Yang cycle	
ILEUDEG-PWY	L-isoleucine degradation I	TAX-2759
ILEUDEG-PWY		TAX-2157
ILEUDEG-PWY		TAX-2
UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)	TAX-2
UBISYN-PWY	superpathway of ubiquinone-8 biosynthesis (prokaryotic)	
PWY-6165	chorismate biosynthesis II (archaea)	TAX-2157
PWY-7776	ethene and chloroethene degradation	TAX-2
PWY-7776	ethylene and chloroethylene degradation	
PWY-7776	vinyl chloride degradation	
PWY-5168	ferulate and sinapate biosynthesis	TAX-58024
PWY-6012	acyl carrier protein metabolism	TAX-2
PWY-6012	[acp] metabolism	
PWY-6012	ACP metabolism	
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism	TAX-33154
PWY3DJ-11470	ceramide degradation	
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	TAX-2
P125-PWY	butylene glycol fermentation	
P125-PWY	butanediol fermentation	
THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I	TAX-2
THISYN-PWY	superpathway of thiamine diphosphate biosynthesis (E .coli)	
THISYN-PWY	superpathway of vitamin B1 biosynthesis (E .coli)	
PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	TAX-2759
PWY-7470	phosphatidylcholine biosynthesis VII	TAX-2
PWY-6834	spermidine biosynthesis III	TAX-2
PWY-6834		TAX-2157
M-CRESOL-DEGRADATION-PWY	m-cresol degradation	TAX-1224
M-CRESOL-DEGRADATION-PWY	3-methylphenol degradation	
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	TAX-2759
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis	TAX-2
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	TAX-1239
P461-PWY	sorbitol metabolism	
P461-PWY	sorbitol fermentation	
P461-PWY	mannitol fermentation	
P461-PWY	sugar alcohol fermentation	
PWY-7674	CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis	TAX-267890
PWY-7674	CMP-Kdo8N biosynthesis I	
PWY-7578	phycoviolobilin biosynthesis	TAX-1117
PWY-5070	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	TAX-33090
PWY-5070	gibberellin biosynthesis I (late C-3 hydroxylation)	
PWY-5070	gibberellin biosynthesis I (late C-13 hydroxylation)	
PWY-7446	sulfoquinovose degradation I	TAX-2
PWY-7446	sulphoglycolysis	
PWY-7446	sulfoglycolysis	
PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic)	TAX-2
PWY-5523	DMB biosynthesis I	
PWY0-1299	arginine dependent acid resistance	TAX-2
PWY0-1280	ethylene glycol degradation	TAX-1224
PWY-6799	fatty acid biosynthesis (plant mitochondria)	TAX-33090
PWY4FS-5	superpathway of phosphatidylcholine biosynthesis	TAX-33090
PWY-5386	methylglyoxal degradation I	TAX-33208
PWY-5386		TAX-4751
PWY-5386		TAX-2
PWY-6627	salinosporamide A biosynthesis	TAX-201174
PWY-5265	peptidoglycan biosynthesis II (staphylococci)	TAX-201174
PWY-5265		TAX-1239
PWY0-1544	proline to cytochrome bo oxidase electron transfer	TAX-2157
PWY0-1544		TAX-2
PWY-7391	isoprene biosynthesis II (engineered)	TAX-2157
PWY-7391	isoprenoid pathway	TAX-33208
PWY-7391	MVA pathway	TAX-4751
PWY-7391		TAX-2
PWY-7391		TAX-33090
PWY-6055	dimethylsulfoniopropanoate biosynthesis II (Spartina)	TAX-33090
PWY-6055	DMSP biosynthesis	
PWY-6055	dimethylsulfoniopropionate biosynthesis II (Spartina)	
PWY-6976	dTDP-L-mycarose biosynthesis	TAX-2
PWY-3981	&beta;-alanine biosynthesis I	TAX-33090
PWY-3981	&beta;-alanine biosynthesis from polyamines	
PWY-5874	heme degradation	TAX-2759
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	TAX-4751
1CMET2-PWY	N10-formyl-THF biosynthesis	TAX-33208
1CMET2-PWY		TAX-2
PWY-6124	inosine-5'-phosphate biosynthesis II	TAX-2759
PWY-6124	IMP biosynthesis II	
PWY-7091	linustatin bioactivation	TAX-58024
METSYN-PWY	L-homoserine and L-methionine biosynthesis	
PWY-3722	glycine betaine biosynthesis II (Gram-positive bacteria)	TAX-1239
2PHENDEG-PWY	phenylethylamine degradation I	TAX-33208
2PHENDEG-PWY		TAX-2
PWY-5659	GDP-mannose biosynthesis	TAX-2157
PWY-5659		TAX-2759
PWY-5659		TAX-2
PWY-3261	UDP-L-rhamnose biosynthesis	TAX-4751
PWY-3261		TAX-33090
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	TAX-4751
ALLANTOINDEG-PWY	ureide degradation	
UDPNACETYLGALSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II	TAX-2759
UDPNACETYLGALSYN-PWY	UDP-N-acetylgalactosamine biosynthesis	
PWY-6983	tetrahydrobiopterin biosynthesis III	TAX-68336
PWY-6983		TAX-1117
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	TAX-2
PWY4FS-2	phosphatidylcholine biosynthesis II	TAX-33090
ARGSPECAT-PWY	spermine biosynthesis	TAX-2759
ARGSPECAT-PWY		TAX-2
ARGSPECAT-PWY		TAX-2157
PWY-5852	demethylmenaquinol-8 biosynthesis I	TAX-2
PWY-5852	demethylmenaquinone-8 biosynthesis I	
PWY-7169	hyperxanthone E biosynthesis	TAX-58023
PWY-6258	patchoulol biosynthesis	TAX-33090
PWY-1042	glycolysis IV (plant cytosol)	TAX-33090
PWY-1042	glycolysis 4	
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)	TAX-2
PWY-5137		TAX-2157
PWY-5137		TAX-2759
PWY-699	brassinosteroid biosynthesis I	TAX-3193
PHESYN	L-phenylalanine biosynthesis I	TAX-2157
PHESYN		TAX-4751
PHESYN		TAX-2
PWY-5080	very long chain fatty acid biosynthesis I	TAX-2
PWY-5080	VLCFAs biosynthesis I	TAX-2759
PWY-7214	baicalein degradation (hydrogen peroxide detoxification)	TAX-33090
PWY-6696	oxalate degradation III	TAX-2
PWY-7172		TAX-58024
PWY-6074	zymosterol biosynthesis	TAX-33154
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	TAX-2157
PWY-7206		TAX-2
PWY-7206		TAX-33208
PWY-7206		TAX-33090
PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)	TAX-186801
PWY-5178	toluene degradation IV (aerobic) (via catechol)	TAX-1224
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer	TAX-2
PWY0-1582		TAX-2157
PWY-7209	superpathway of pyrimidine ribonucleosides degradation	TAX-33208
PWY-7209		TAX-2
PWY-7209		TAX-2157
PWY-1001	cellulose biosynthesis	TAX-2759
PWY-1001		TAX-2
PWY-5941	glycogen degradation II	TAX-2157
PWY-5941	glycogenolysis II	TAX-2
PWY-5941		TAX-33154
PWY-6927	chlorophyll a degradation II	TAX-33090
PWY-6780	hydrogen production VI	TAX-2
PWY-6473	4-aminobutanoate degradation IV	TAX-33090
PWY-6473	GABA metabolism during fruit ripening	
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	TAX-4751
HEMESYN2-PWY		TAX-33630
HEMESYN2-PWY		TAX-2
PWY-7262	rose anthocyanin biosynthesis II (via cyanidin 3-O-&beta;-D-glucoside)	TAX-3744
PWY-4521	arsenite oxidation I (respiratory)	TAX-2
PWY-5723	Rubisco shunt	TAX-58024
PWY-761	rhizobactin 1021 biosynthesis	TAX-1224
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	TAX-2
PWY-7019	butirosin biosynthesis	TAX-2
PWY-5198	factor 420 biosynthesis	TAX-2157
PWY-5198	F420 biosynthesis	TAX-201174
PWY-5198		TAX-1117
SERSYN-PWY	L-serine biosynthesis	TAX-2157
SERSYN-PWY		TAX-2759
SERSYN-PWY		TAX-2
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	TAX-2
PWY-5497	purine nucleobases degradation II (anaerobic)	TAX-1239
PWY-5497	purine fermentation	
PWY-5751	phenylethanol biosynthesis	TAX-33090
PWY-5751	phenyacetaldehyde biosynthesis	TAX-131567
PWY-5751	phenylacetaldehyde and phenylethanol biosynthesis	
PWY66-4	cholesterol biosynthesis III (via desmosterol)	TAX-33208
PWY-6657	polyhydroxydecanoate biosynthesis	TAX-2157
PWY-6657	medium chain length polyhydroxyalkanoate biosynthesis	TAX-2
PWY-7168		TAX-58024
PWY-7347	sucrose biosynthesis III	TAX-32011
PWY-7347		TAX-40222
PWY-7347		TAX-429
PWY-7347		TAX-39773
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	TAX-2
FUC-RHAMCAT-PWY	fucose and rhamnose catabolism	
PWY-6019	pseudouridine degradation	TAX-2759
PWY-6019		TAX-2
PWY-7205	CMP phosphorylation	TAX-2759
PWY-7205		TAX-2
PWY-7205		TAX-2157
PWY-7285	methylwyosine biosynthesis	TAX-2157
PWY-6910	hydroxymethylpyrimidine salvage	TAX-33090
PWY-6910	HMP salvage	TAX-4751
PWY-6910		TAX-2157
PWY-6910		TAX-2
PWY-6583	pyruvate fermentation to butanol I	TAX-186801
PWY-5957	L-nicotianamine biosynthesis	TAX-33090
PWY-7234	inosine-5'-phosphate biosynthesis III	TAX-2157
PWY-7234	IMP biosynthesis I	
PWY-5049	rosmarinic acid biosynthesis II	TAX-58023
PWY-6557	glycosaminoglycan-protein linkage region biosynthesis	TAX-33208
PWY-6557	heparan sulfate biosynthesis (early stages)	
PWY-6557	chondroitin sulfate biosynthesis (early stages)	
PWY-6557	GAG-protein linkage region biosynthesis	
PWY0-1587	N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis	TAX-2759
PWY0-1587		TAX-2
PWY0-1587		TAX-2157
PWY-5529	superpathway of bacteriochlorophyll a biosynthesis	TAX-191411
PWY-5529		TAX-135613
PWY-5529		TAX-204441
PWY-5529		TAX-204455
PWYG-321	mycolate biosynthesis	TAX-1762
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation	TAX-2
PWY-6200	2,4,5-trichlorophenoxyacetate degradation	TAX-2
PWY-6200	2,4,5-trichlorophenoxyacetic acid degradation	
PWY-6200	2,4,5-T degradation	
PWY-7839	lacto-series glycosphingolipids biosynthesis	TAX-33208
PWY-7839	lactoglycosphingolipids biosynthesis	
PWY-7513	flaviolin dimer and mompain biosynthesis	TAX-2
PWY-3502	superpathway of NAD biosynthesis in eukaryotes	TAX-2759
PWY-7659	viridicatumtoxin biosynthesis	TAX-4751
PWY-5097	L-lysine biosynthesis VI	TAX-183939
PWY-5097		TAX-183925
PWY-5097		TAX-1783257
PWY-5097		TAX-1117
PWY-5097		TAX-3398
PWY1-2	L-alanine degradation IV	TAX-2
PWY1-2		TAX-2157
QUINATEDEG-PWY	quinate degradation I	TAX-2
MANNCAT-PWY	D-mannose degradation	TAX-2759
MANNCAT-PWY	mannose degradation	TAX-2
MANNCAT-PWY		TAX-2157
PWY-6436	perillyl aldehyde biosynthesis	TAX-4136
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	TAX-2
P124-PWY	Bifidobacterium shunt	TAX-201174
P124-PWY	Bifidum fermentation	
P124-PWY	Bifidum pathway	
P124-PWY	fructose-6-phosphate pathway	
P124-PWY	Bifidum shunt	
P124-PWY	glucose fermentation to lactate (Bifidobacteria)	
PWY-5917	phycocyanobilin biosynthesis	TAX-1117
PWY-6806	carotenoid cleavage	TAX-1117
PWY-6806	apocarotenoid biosynthesis	TAX-33154
PWY-6806		TAX-2763
PWY-6806		TAX-33090
PWY-7761	NAD salvage pathway II	TAX-2
PWY-7761	PNC IV cycle	
PWY-7455	allopregnanolone biosynthesis	TAX-40674
PWY-6693	D-galactose degradation IV	TAX-4751
PWY-7344	UDP-D-galactose biosynthesis	TAX-2759
PWY-7344		TAX-2
PWY-7344		TAX-2157
PWY-6982	umbelliferone biosynthesis	TAX-33090
PWY-7128	nicotine degradation III (VPP pathway)	TAX-2
GLUTAMINEFUM-PWY	L-glutamine degradation II	TAX-2157
GLUTAMINEFUM-PWY		TAX-2
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	TAX-2
DHGLUCONATE-PYR-CAT-PWY	2-dehydro-D-gluconate pyruvate catabolism	
DHGLUCONATE-PYR-CAT-PWY	2-dehydro-D-gluconate pyruvate degradation	
DHGLUCONATE-PYR-CAT-PWY	2-dehydro-D-gluconate degradation	
PWY-5053	superpathway of gibberellin GA12 biosynthesis	TAX-396
PWY-5053		TAX-55087
PWY-5053		TAX-192
PWY-5053		TAX-193
PWY-5053		TAX-434
PWY-5053		TAX-49222
PWY-5053		TAX-55067
PWY-5053		TAX-5127
PWY-5053		TAX-131221
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	TAX-2
POLYAMSYN-PWY	spermidine biosynthesis	
POLYAMSYN-PWY	putrescine biosynthesis	
POLYAMSYN-PWY	polyamine biosynthesis I	
POLYAMSYN-PWY	aminopropylcadaverine biosynthesis	
PWY-6338	superpathway of vanillin and vanillate degradation	TAX-2
PWY-7194	pyrimidine nucleobases salvage II	TAX-4751
PWY-7194	cytosine salvage	TAX-2157
PWY-7194		TAX-2
PWY0-1576	hydrogen to fumarate electron transfer	TAX-2
PWY0-1576		TAX-2157
PWY-6556	pyrimidine ribonucleosides salvage II	TAX-2157
PWY-6556		TAX-4751
PWY-6556		TAX-2
PWY-6556		TAX-33090
PWY-7013	L-1,2-propanediol degradation	TAX-2
PWY-7013	propylene glycol degradation	
PWY-5474	hydroxycinnamic acid tyramine amides biosynthesis	TAX-3193
PWY-5474	hydroxycinnamic acid amides biosynthesis	
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	TAX-33208
PLPSAL-PWY	vitamin B6 salvage I	TAX-4751
PLPSAL-PWY		TAX-2
PLPSAL-PWY		TAX-33090
PWY-6922	L-N&delta;-acetylornithine biosynthesis	TAX-4751
PWY-6922	L-N-delta-acetylornithine biosynthesis	TAX-33208
